,Unnamed: 0,price,link,Brand,Form Factor,Processor,Processor Main Features,Memory,Storage,Graphics,Operating System,CPU Type,CPU Speed,CPU Main Features,GPU/VGA Type,Video Memory,Memory Capacity,HDD,Screen Size,Graphics Interface,SSD,Optical Drive Spec,Front USB,Video Ports,Rear USB,Memory Slots (Available/Total),proc_brand,proc_cores,proc_speed,mem_type,mem_cap,num_USB,storage_type,storage_cap
0,0,930,https://www.newegg.com/Product/Product.aspx?Item=N82E16883794893R&ignorebbr=1,Lenovo,Tower,Intel Core i7-8700 3.20 GHz,64 bit 6-Core Processor,16 GB DDR4 2666 + 16 GB Optane Memory,2 TB 7200 RPM HDD,NVIDIA GeForce GTX 1050 Ti 4 GB GDDR5,Windows 10,Intel Core i7 8th Gen,8700 (3.20 GHz),64 bit 6-Core Processor,NVIDIA GeForce GTX 1050 Ti,4 GB GDDR5,16 GB DDR4,2 TB,No Screen,,,,0,,0,,Intel,6.0,3.2,ddr4,16.0,8.0,,2048.0
1,1,"1,050",https://www.newegg.com/Product/Product.aspx?Item=N82E16883794892R&ignorebbr=1,Lenovo,Tower,Intel Core i7-8700 3.20 GHz,64 bit 6-Core Processor,16 GB DDR4 2666 + 16 GB Optane Memory,2 TB 7200 RPM HDD,NVIDIA GeForce GTX 1060 6 GB GDDR5,Windows 10,Intel Core i7 8th Gen,8700 (3.20 GHz),64 bit 6-Core Processor,NVIDIA GeForce GTX 1060,6 GB GDDR5,16 GB DDR4,2 TB,,,,,0,,0,,Intel,6.0,3.2,ddr4,16.0,8.0,,2048.0
2,2,379,https://www.newegg.com/Product/Product.aspx?Item=N82E16883794897R&ignorebbr=1,Lenovo,Tower,Intel Core i3-8100 3.60 GHz,64 bit Quad-Core Processor,4 GB DDR4 2666,1 TB 7200 RPM HDD,Intel UHD Graphics 630,Windows 10,Intel Core i3 8th Gen,8100 (3.60 GHz),64 bit Quad-Core Processor,Intel UHD Graphics 630,,4 GB DDR4,1 TB,No Screen,Integrated video,,,0,,0,,Intel,2.0,3.6,ddr4,4.0,8.0,,1024.0
3,3,674,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165597&ignorebbr=1,DELL,Slim/Small form factor,Intel Core i5-8600 3.10 GHz,64 bit 6-Core Processor,8 GB,256 GB SSD,Intel UHD Graphics 630,Windows 10,Intel Core i5 8th Gen,8600 (3.10 GHz),64 bit 6-Core Processor,Intel UHD Graphics 630,,8 GB DDR4,,,Integrated video,256 GB,,0,,0,,Intel,4.0,3.1,ddr4,8.0,8.0,ssd,256.0
4,4,935,https://www.newegg.com/Product/Product.aspx?Item=1VK-001E-18MT6&ignorebbr=1,,,,,,,,,,,,,,,,No Screen,,,,0,,0,,,,,,,8.0,,
5,5,823,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165557&ignorebbr=1,,Slim/Small form factor,Intel Core i7-8700 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3.2 GHz,,Intel HD Graphics,,16 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,3,,0,,Intel,6.0,,ddr4,16.0,3.0,,
6,6,631,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165552&ignorebbr=1,,Slim/Small form factor,Intel Core i7-7700 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.6 GHz,,Intel HD Graphics,,4 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,2,,0,,Intel,6.0,,ddr4,4.0,2.0,,
7,7,"1,293",https://www.newegg.com/Product/Product.aspx?Item=N82E16883165563&ignorebbr=1,,Mid Tower,Intel Xeon E5-1620 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.5 GHz,,NVIDIA Quadro K1200,,32 GB DDR3,,No Screen,,,DVD Player,3,,0,,Intel,4.0,,ddr3,32.0,3.0,,
8,8,674,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288615&ignorebbr=1,,Slim/Small form factor,Intel Xeon E3-1245 v5 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.5 GHz,,Intel HD Graphics 530,,8 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,2,,0,,Intel,4.0,,ddr4,8.0,2.0,,
9,9,793,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165580&ignorebbr=1,,Mini Tower,Intel Core i7-8700 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3.2 GHz,,NVIDIA GeForce GT 1030,,16 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,6.0,,ddr4,16.0,8.0,,
10,10,823,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165586&ignorebbr=1,,Mini Tower,Intel Core i7-8700 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3.2 GHz,,NVIDIA GeForce GT 1030,,16 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,6.0,,ddr4,16.0,8.0,,
11,11,312,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288616&ignorebbr=1,,Mini Tower,AMD 12-9800 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.8 GHz,,Intel HD Graphics 620,,8 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,AMD,4.0,,ddr4,8.0,8.0,,
12,12,792,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165590&ignorebbr=1,,Slim/Small form factor,Intel Core i7-8700 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3.2 GHz,,Intel HD Graphics,,8 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,3,,0,,Intel,6.0,,ddr4,8.0,3.0,,
13,13,904,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165579&ignorebbr=1,,Slim/Small form factor,Intel Core i5-7500 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.4 GHz,,Intel HD Graphics,,16 GB DDR4,,No Screen,,,DVD Player,2,,0,,Intel,4.0,,ddr4,16.0,2.0,,
14,14,812,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165562&ignorebbr=1,,Slim/Small form factor,Intel Core i5-8500 6 Core Processor,,,,Wired Mouse Included,Windows 10,,3 GHz,,Intel HD Graphics,,8 GB DDR4,,No Screen,,,Not Included,0,,0,,Intel,6.0,,ddr4,8.0,8.0,,
15,15,510,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165585&ignorebbr=1,,Mini Tower,Intel Core i5-8400 6 Core Processor,,,,Wired Mouse Included,Windows 10,,2.8 GHz,,NVIDIA GeForce GT 1030,,12 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,6.0,,ddr4,12.0,8.0,,
16,16,743,https://www.newegg.com/Product/Product.aspx?Item=N82E16883288612&ignorebbr=1,,Mini Tower,Intel Core i7-7700 4 Core Processor,,,,Wireless Mouse Included,Windows 10,,3.6 GHz,,Intel HD Graphics 620,,16 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,6.0,,ddr4,16.0,8.0,,
17,17,399,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165592&ignorebbr=1,,Mini Tower,Intel Core i3-8100 4 Core Processor,,,,Wired Mouse Included,Windows 10,,3.6 GHz,,NVIDIA GeForce GT 1030,,8 GB DDR4,,No Screen,,,SuperMulti-DVD Burner,0,,0,,Intel,4.0,,ddr4,8.0,8.0,,
