,price,proc_cores,proc_speed,mem_type,mem_cap,num_USB,storage_type,storage_cap,graphics,form,brand
0,930,6.0,3.2,ddr4,16.0,8.0,hdd,2048.0,NVIDIA,TOWER,LENOVO
1,1050,6.0,3.2,ddr4,16.0,8.0,hdd,2048.0,NVIDIA,TOWER,LENOVO
2,379,2.0,3.6,ddr4,4.0,8.0,hdd,1024.0,INTEGRATED,TOWER,LENOVO
3,674,4.0,3.1,ddr4,8.0,8.0,ssd,256.0,INTEGRATED,SMALL,DELL
5,823,6.0,3.1,ddr4,16.0,3.0,hdd,1024.0,INTEGRATED,SMALL,DELL
6,631,6.0,3.1,ddr4,4.0,2.0,hdd,1024.0,INTEGRATED,SMALL,DELL
7,1293,4.0,3.1,ddr3,32.0,3.0,hdd,1024.0,NVIDIA,TOWER,DELL
8,674,4.0,3.1,ddr4,8.0,2.0,hdd,1024.0,INTEGRATED,SMALL,DELL
9,793,6.0,3.1,ddr4,16.0,8.0,hdd,1024.0,NVIDIA,TOWER,DELL
10,823,6.0,3.1,ddr4,16.0,8.0,hdd,1024.0,NVIDIA,TOWER,DELL
11,312,4.0,3.1,ddr4,8.0,8.0,hdd,1024.0,INTEGRATED,TOWER,DELL
12,792,6.0,3.1,ddr4,8.0,3.0,hdd,1024.0,INTEGRATED,SMALL,DELL
13,904,4.0,3.1,ddr4,16.0,2.0,hdd,1024.0,INTEGRATED,SMALL,DELL
14,812,6.0,3.1,ddr4,8.0,8.0,hdd,1024.0,INTEGRATED,SMALL,DELL
15,510,6.0,3.1,ddr4,12.0,8.0,hdd,1024.0,NVIDIA,TOWER,DELL
16,743,6.0,3.1,ddr4,16.0,8.0,hdd,1024.0,INTEGRATED,TOWER,DELL
17,399,4.0,3.1,ddr4,8.0,8.0,hdd,1024.0,NVIDIA,TOWER,DELL
18,530,4.0,3.1,ddr3,8.0,2.0,hdd,1024.0,INTEGRATED,SMALL,DELL
19,439,4.0,3.1,ddr4,8.0,8.0,hdd,1024.0,NVIDIA,TOWER,DELL
20,549,6.0,3.1,ddr4,8.0,8.0,hdd,1024.0,INTEGRATED,SMALL,DELL
21,752,6.0,3.1,ddr4,8.0,3.0,hdd,1024.0,INTEGRATED,SMALL,DELL
22,630,4.0,3.1,ddr4,8.0,8.0,hdd,1024.0,INTEGRATED,TOWER,DELL
23,361,2.0,3.1,ddr4,4.0,8.0,hdd,1024.0,INTEGRATED,TOWER,DELL
24,101,2.0,3.6,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,SMALL,DELL
25,105,4.0,3.1,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
31,114,2.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,DELL
41,489,4.0,2.3,ddr4,4.0,4.0,hdd,500.0,INTEGRATED,SMALL,HP
42,561,6.0,2.1,ddr3,8.0,4.0,ssd,16.0,INTEGRATED,SMALL,HP
58,123,2.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,HP
59,250,4.0,2.9,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
60,182,2.0,3.4,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
66,143,4.0,3.2,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
71,949,6.0,2.4,ddr4,8.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
72,902,6.0,2.4,ddr4,8.0,3.0,ssd,256.0,INTEGRATED,SMALL,HP
73,174,4.0,3.1,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,DELL
75,99,2.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,DELL
76,190,4.0,3.2,ddr3,8.0,8.0,ssd,128.0,INTEGRATED,SMALL,DELL
77,99,2.0,3.3,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,DELL
78,127,4.0,3.1,ddr3,4.0,8.0,hdd,320.0,INTEGRATED,SMALL,DELL
79,99,2.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,TOWER,DELL
80,99,2.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,DELL
89,627,6.0,2.8,ddr3,8.0,8.0,ssd,256.0,INTEGRATED,TOWER,DELL
